,ru-ru,en,,,,,NOTES – use \n for newline,max length
stat_enemies_slain,Убито врагов:,Enemies slain:,,,,,,
stat_max_hp,Макс. ОЗ:,Max HP:,,,,,,
stat_gold,Золото:,Gold:,,,,,,
stat_items_found,Найдено предметов:,Items found:,,,,,,
stat_orbs,Собрано шаров:,Orbs collected:,,,,,,
stat_total_deaths,Всего смертей:,Total deaths:,,,,,,
stat_total_play_time,Общее время игры:,Total play time:,,,,,,
stat_total_wins,Всего побед:,Total wins:,,,,,,
stat_cause_of_death,Причина смерти: $0,Cause of death: '$0',,,,,,
stat_best,(Лучший результат: $0),(Best: $0),,,,,,
credits_music,Музыка: From Grotto и Niilo Takalainen,With music by From Grotto and Niilo Takalainen,,,,,,
credits_sounddesign,Звуковое оформление: Niilo Takalainen,Sound design by Niilo Takalainen,,,,,,
credits_fmod,Noita использует FMOD Studio от Firelight Technologies Pty Ltd,Noita uses FMOD Studio by Firelight Technologies Pty Ltd,,,,,,
credits_copyright,"Noita (c) Nolla Games Oy, 2019",Noita (c) Nolla Games Oy 2019,,,,,,
progress_perks,Бонусы,Perks,,,,,,
progress_actions,Заклинания,Spells,,,,,,
progress_secrets,Секреты,Secrets,,,,,,
progress_enemies,Враги,Enemies,,,,,,
progress_unlocked,Открытие,Unlocks,,,,,,
progress_completed,Найдено секретов: $0 $1,$0 $1 secret(s) found,,,,,,
progress_kills,Убито: $0,Kills: $0,,,,,,
progress_unknown,???,???,,,,,,
progress_ending0,Найден секрет ниже — ,Discovered the secret below - ,,,,,,
progress_ending1,Найден секрет выше — ,Discovered the secret above - ,,,,,,
progress_ending01,Найдены секреты выше и ниже — ,Discovered the secrets above and below - ,,,,,,
status_wet,Влага,Wet,,,,,,
statusdesc_wet,Влажная одежда защищает от огня.,Wet clothes protect you from fire.,,,,,,
status_oiled,Нефть ,Oiled ,,,,,,
statusdesc_oiled,Нефть делает вас скользкими и легковозгораемыми.,Oil makes you slippery and more flammable.,,,,,,
status_bloody,Кровь ,Bloody ,,,,,,
statusdesc_bloody,Окровавленная одежда защищает от огня.\nТакже у вас повышена вероятность критических ударов.,Bloody clothes protect you from fire.\nYou sense an increased chance of attaining critical hits.,,,,,,
status_slimy,Слизь,Slimy,,,,,,
statusdesc_slimy,Испачканная в слизи одежда защищает от огня.\nСлизь затрудняет передвижение.,Slimy clothes protect you from fire.\nThe mucus makes moving around difficult.,,,,,,
status_radioactive,Радиоактивность,Toxic,,,,,,
statusdesc_radioactive,Радиоактивные вещества на одежде медленно снижают здоровье.\nВлажная одежда защищает от огня.\nСмывается жидкостями.,Toxic sludge in your clothes makes your health degrade slowly.\nWet clothes protect you from fire.\nCan be washed off by liquids.,,,,,,
status_alcoholic,Алкоголь,Alcoholic,,,,,,
statusdesc_alcoholic,"От одежды сильно разит спиртным.\nСтало сложнее целиться.\nКроме того, алкоголь огнеопасен!",Heavy scent of booze oozes of your clothes.\nAiming is disturbed.\nAnd alcohol is flammable!,,,,,,
status_poisoned,Яд,Poisoned,,,,,,
statusdesc_poisoned,Яд медленно снижает здоровье. ,A poisoning slowly degrades your health. ,,,,,,
status_teleportation,Телепортация,Teleportation,,,,,,
statusdesc_teleportation,На вас действует проклятие телепортации.,A teleport curse affects you.,,,,,,
status_hp_regeneration,Восстановление ,Regeneration ,,,,,,
statusdesc_hp_regeneration,На вас действует заклинание восстановления здоровья.,A health regeneration spell affects you.,,,,,,
status_polymorph,Полиморфизм,Polymorph,,,,,,
statusdesc_polymorph,Вы — овечка.,You're a sheep.,,,,,,
status_polymorph_random,Хаотический полиморфизм,Chaos polymorph,,,,,,
statusdesc_polymorph_random,На вас действует проклятие полиморфизма.,A polymorph curse affects you.,,,,,,
status_berserk,Неистовство,Berserk,,,,,,
statusdesc_berserk,На вас действует проклятие неистовства.,A berserk curse affects you.,,,,,,
status_charm,Чары,Charmed,,,,,,
statusdesc_charm,На вас действуют чары.,A charm affects you.,,,,,,
status_invisibility,Невидимость,Invisible,,,,,,
statusdesc_invisibility,Волшебная жидкость на одежде превращает вас в невидимку.\nЗаклинание разрушается испачканной или мокрой одеждой.,The magical liquid on your clothes makes you invisible.\nThe spell is disturbed by stained or wet clothes.,,,,,,
status_on_fire,В огне ,On fire ,,,,,,
statusdesc_on_fire,Вы загорелись. Нужна вода!,You're on fire. Find some water!,,,,,,
boss_limbs_limb_attacker,Паучья нога,Spider leg,,,,,,
biome_boss_arena,Лаборатория,The Laboratory,,,,,,
biome_boss_victoryroom,Великий труд,The Work,,,,,,
biome_coalmine,шахты,mines,,,,,,
biome_coalmine_alt,обрушенные шахты,collapsed mines,,,,,,
biome_crypt,Храм Искусства,Temple of the Art,,,,,,
biome_desert,Пустыня,Desert,,,,,,
biome_dragoncave,Драконья пещера,Dragoncave,,,,,,
biome_ending_placeholder,Гробница символа Мастера,Master Symbol Crypt,,,,,,
biome_excavationsite,Угольные карьеры,Coal Pits,,,,,,
biome_fungicave,Грибные пещеры,Fungal Caverns,,,,,,
biome_gold,Золото,Gold,,,,,,
biome_lake,Озеро,Lake,,,,,,
biome_lava,Вулканическое озеро,Volcanic Lake,,,,,,
biome_lavacave,Вулканическая пещера,Volcanic Cave,,,,,,
biome_magic_gate,Святилище,Sanctuary,,,,,,
biome_null,неизвестно,unknown,,,,,,
biome_pyramid,Пирамида,Pyramid,,,,,,
biome_rainforest,Подземные джунгли,Underground Jungle,,,,,,
biome_sandcave,Песчаная пещера,Sandcave,,,,,,
biome_secret_entrance,Таинственные врата,Mysterious Gate,,,,,,
biome_shop_room,Секретный магазин,Secret Shop,,,,,,
biome_snowcastle,База Хийси,Hiisi Base,,,,,,
biome_snowcave,Снежные глубины,Snowy Depths,,,,,,
biome_town_under,извилистые ходы,twisty passages,,,,,,
biome_vault,Убежище,The Vault,,,,,,
biome_wandcave,волшебный храм,magical temple,,,,,,
biome_water,вода,water,,,,,,
biome_winter,снежная пустошь,snowy wasteland,,,,,,
biome_holymountain,Святая гора,Holy Mountain,,,,,This is a reference to the Jodorowsky film 'Holy Mountain',
biome_east,"$0, восток",East $0,,,,,,
biome_west,"$0, запад",West $0,,,,,,
animal_player,Миня,Minä,,,,,doesn't need to be translated,
animal_boss_centipede_minion,Колмисильмян апури,Kolmisilmän apuri,,,,,doesn't need to be translated,
animal_boss_limbs,Колмисильмян койпи,Kolmisilmän koipi,,,,,doesn't need to be translated,
animal_boss_dragon_endcrystal,Мато,Mato,,,,,doesn't need to be translated,
animal_lukki,Хямяхякки,Hämähäkki,,,,,doesn't need to be translated,
